heldout_pdf_manifest
id,bin,pdf_url,pdf_path,source_path
76854692,0_100,http://www.cv-foundation.org/openaccess/content_cvpr_2016/papers/Mathe_Reinforcement_Learning_for_CVPR_2016_paper.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/longsumm_prepared/heldout_pdfs/76854692.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/LongSumm-master-github/abstractive_summaries/by_clusters/0_100/mathe_2016_cvpr.json
60641106,0_100,https://arxiv.org/pdf/1605.09410.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/longsumm_prepared/heldout_pdfs/60641106.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/LongSumm-master-github/abstractive_summaries/by_clusters/0_100/1605.09410.json
28171009,0_100,https://arxiv.org/pdf/1307.7814.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/longsumm_prepared/heldout_pdfs/28171009.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/LongSumm-master-github/abstractive_summaries/by_clusters/0_100/cohen13a.json
8363020,1000_1100,https://arxiv.org/pdf/1812.08658.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/longsumm_prepared/heldout_pdfs/8363020.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/LongSumm-master-github/abstractive_summaries/by_clusters/1000_1100/large-scale-image-captioning-a2c0191ffd3c.json
67744436,1000_1100,https://arxiv.org/pdf/1606.03657.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/longsumm_prepared/heldout_pdfs/67744436.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/LongSumm-master-github/abstractive_summaries/by_clusters/1000_1100/infogan.json
31543932,100_200,http://proceedings.mlr.press/v87/clavera18a/clavera18a.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/longsumm_prepared/heldout_pdfs/31543932.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/LongSumm-master-github/abstractive_summaries/by_clusters/100_200/claverars0aa18.json
963444,100_200,https://arxiv.org/pdf/1511.05077.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/longsumm_prepared/heldout_pdfs/963444.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/LongSumm-master-github/abstractive_summaries/by_clusters/100_200/mariets15a.json
61603670,1100_1200,https://arxiv.org/pdf/1509.07821.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/longsumm_prepared/heldout_pdfs/61603670.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/LongSumm-master-github/abstractive_summaries/by_clusters/1100_1200/wavefs.json
45612165,1100_1200,https://arxiv.org/pdf/1605.06065.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/longsumm_prepared/heldout_pdfs/45612165.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/LongSumm-master-github/abstractive_summaries/by_clusters/1100_1200/1605.06065.json
73180675,1200_1300,https://arxiv.org/pdf/1508.06576.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/longsumm_prepared/heldout_pdfs/73180675.pdf,/Users/sassss/Documents/sasmitha/dsa4213/group project/DSA4213/longsumm dataset/LongSumm-master-github/abstractive_summaries/by_clusters/1200_1300/a_neural_algorithm_for_artistic_style.json
